name,icon,id,description,members,gp_value,lowalch,limit,highalch
Adamant dart,https://oldschool.runescape.wiki/images/Adamant_dart.png,810,A deadly throwing dart with an adamant tip.,https://oldschool.runescape.wiki/images/Member_icon.png,65,26,11000,39
Adamant dart tip,https://oldschool.runescape.wiki/images/Adamant_dart_tip.png,823,A deadly-looking dart tip made of adamant - needs feathers for flight.,https://oldschool.runescape.wiki/images/Member_icon.png,36,14,20000,21
Adamant dart(p),https://oldschool.runescape.wiki/images/Adamant_dart(p).png,816,A deadly poisoned dart with an adamant tip.,https://oldschool.runescape.wiki/images/Member_icon.png,65,26,11000,39
Adamant dart(p+),https://oldschool.runescape.wiki/images/Adamant_dart(p+).png,5633,A deadly poisoned dart with an adamant tip.,https://oldschool.runescape.wiki/images/Member_icon.png,65,26,11000,39
Adamant dart(p++),https://oldschool.runescape.wiki/images/Adamant_dart(p++).png,5640,A deadly poisoned dart with an adamant tip.,https://oldschool.runescape.wiki/images/Member_icon.png,65,26,11000,39
Adamant dragon mask,https://oldschool.runescape.wiki/images/Adamant_dragon_mask.png,23270,Do I look scary?,https://oldschool.runescape.wiki/images/Member_icon.png,10000,4000,4,6000
Adamant full helm,https://oldschool.runescape.wiki/images/Adamant_full_helm.png,1161,A full face helmet.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,3520,1408,125,2112
Adamant full helm (g),https://oldschool.runescape.wiki/images/Adamant_full_helm_(g).png,2613,Adamant full helmet with gold trim.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,3520,1408,8,2112
Adamant full helm (t),https://oldschool.runescape.wiki/images/Adamant_full_helm_(t).png,2605,Adamant full helmet with trim.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,3520,1408,8,2112
Adamant gold-trimmed set (lg),https://oldschool.runescape.wiki/images/Adamant_gold-trimmed_set_(lg).png,13020,"A set containing a full helm, platebody, legs and kiteshield.",https://oldschool.runescape.wiki/images/Free-to-play_icon.png,8000,3200,8,4800
Adamant gold-trimmed set (sk),https://oldschool.runescape.wiki/images/Adamant_gold-trimmed_set_(sk).png,13022,"A set containing a full helm, platebody, skirt and kiteshield.",https://oldschool.runescape.wiki/images/Free-to-play_icon.png,8000,3200,8,4800
Adamant halberd,https://oldschool.runescape.wiki/images/Adamant_halberd.png,3200,An adamant halberd.,https://oldschool.runescape.wiki/images/Member_icon.png,6400,2560,125,3840
Adamant hasta,https://oldschool.runescape.wiki/images/Adamant_hasta.png,11375,"An adamant-tipped, one-handed hasta.",https://oldschool.runescape.wiki/images/Member_icon.png,2080,832,125,1248
Adamant hasta(p),https://oldschool.runescape.wiki/images/Adamant_hasta(p).png,11407,"A poison-tipped, one-handed adamantite hasta.",https://oldschool.runescape.wiki/images/Member_icon.png,2080,832,125,1248
Adamant hasta(p+),https://oldschool.runescape.wiki/images/Adamant_hasta(p+).png,11410,"A poison-tipped, one-handed adamantite hasta.",https://oldschool.runescape.wiki/images/Member_icon.png,2080,832,125,1248
Adamant hasta(p++),https://oldschool.runescape.wiki/images/Adamant_hasta(p++).png,11412,"A poison-tipped, one-handed adamantite hasta.",https://oldschool.runescape.wiki/images/Member_icon.png,2080,832,125,1248
Adamant helm (h1),https://oldschool.runescape.wiki/images/Adamant_helm_(h1).png,10296,An adamant helmet with a heraldic design.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,3520,1408,70,2112
Adamant helm (h2),https://oldschool.runescape.wiki/images/Adamant_helm_(h2).png,10298,An adamant helmet with a heraldic design.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,3520,1408,70,2112
Adamant helm (h3),https://oldschool.runescape.wiki/images/Adamant_helm_(h3).png,10300,An adamant helmet with a heraldic design.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,3520,1408,70,2112
Adamant helm (h4),https://oldschool.runescape.wiki/images/Adamant_helm_(h4).png,10302,An adamant helmet with a heraldic design.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,3520,1408,70,2112
Adamant helm (h5),https://oldschool.runescape.wiki/images/Adamant_helm_(h5).png,10304,An adamant helmet with a heraldic design.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,3520,1408,70,2112
Adamant javelin,https://oldschool.runescape.wiki/images/Adamant_javelin.png,829,An adamant tipped javelin.,https://oldschool.runescape.wiki/images/Member_icon.png,160,64,11000,96
Adamant javelin heads,https://oldschool.runescape.wiki/images/Adamant_javelin_heads_5.png,19578,Needs a shaft.,https://oldschool.runescape.wiki/images/Member_icon.png,440,176,10000,264
Adamant javelin(p),https://oldschool.runescape.wiki/images/Adamant_javelin(p).png,835,An adamant tipped javelin.,https://oldschool.runescape.wiki/images/Member_icon.png,160,64,11000,96
Adamant javelin(p+),https://oldschool.runescape.wiki/images/Adamant_javelin(p+).png,5646,An adamant tipped javelin.,https://oldschool.runescape.wiki/images/Member_icon.png,160,64,11000,96
Adamant javelin(p++),https://oldschool.runescape.wiki/images/Adamant_javelin(p++).png,5652,An adamant tipped javelin.,https://oldschool.runescape.wiki/images/Member_icon.png,160,64,11000,96
Adamant kiteshield,https://oldschool.runescape.wiki/images/Adamant_kiteshield.png,1199,A large metal shield.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,5440,2176,125,3264
Adamant kiteshield (g),https://oldschool.runescape.wiki/images/Adamant_kiteshield_(g).png,2611,Adamant kiteshield with gold trim.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,5440,2176,8,3264
Adamant kiteshield (t),https://oldschool.runescape.wiki/images/Adamant_kiteshield_(t).png,2603,Adamant kiteshield with trim.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,5440,2176,8,3264
Adamant knife,https://oldschool.runescape.wiki/images/Adamant_knife.png,867,A finely balanced throwing knife.,https://oldschool.runescape.wiki/images/Member_icon.png,66,26,11000,39
Adamant knife(p),https://oldschool.runescape.wiki/images/Adamant_knife(p).png,875,A finely balanced throwing knife.,https://oldschool.runescape.wiki/images/Member_icon.png,66,26,11000,39
Adamant knife(p+),https://oldschool.runescape.wiki/images/Adamant_knife(p+).png,5659,A finely balanced throwing knife.,https://oldschool.runescape.wiki/images/Member_icon.png,66,26,7000,39
Adamant knife(p++),https://oldschool.runescape.wiki/images/Adamant_knife(p++).png,5666,A finely balanced throwing knife.,https://oldschool.runescape.wiki/images/Member_icon.png,66,26,7000,39
Adamant longsword,https://oldschool.runescape.wiki/images/Adamant_longsword.png,1301,A razor sharp longsword.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,3200,1280,125,1920
Adamant mace,https://oldschool.runescape.wiki/images/Adamant_mace.png,1430,A spiky mace.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,1440,576,125,864
Adamant med helm,https://oldschool.runescape.wiki/images/Adamant_med_helm.png,1145,A medium sized helmet.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,1920,768,125,1152
Adamant pickaxe,https://oldschool.runescape.wiki/images/Adamant_pickaxe.png,1271,Used for mining.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,3200,1280,40,1920
Adamant platebody,https://oldschool.runescape.wiki/images/Adamant_platebody.png,1123,Provides excellent protection.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,16640,6656,125,9984
Adamant platebody (g),https://oldschool.runescape.wiki/images/Adamant_platebody_(g).png,2607,Adamant platebody with gold trim.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,16640,6656,8,9984
Adamant platebody (h1),https://oldschool.runescape.wiki/images/Adamant_platebody_(h1).png,23392,Adamant platebody with a heraldic design.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,16640,6656,8,9984
Adamant platebody (h2),https://oldschool.runescape.wiki/images/Adamant_platebody_(h2).png,23395,Adamant platebody with a heraldic design.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,16640,6656,8,9984
Adamant platebody (h3),https://oldschool.runescape.wiki/images/Adamant_platebody_(h3).png,23398,Adamant platebody with a heraldic design.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,16640,6656,8,9984
Adamant platebody (h4),https://oldschool.runescape.wiki/images/Adamant_platebody_(h4).png,23401,Adamant platebody with a heraldic design.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,16640,6656,8,9984
Adamant platebody (h5),https://oldschool.runescape.wiki/images/Adamant_platebody_(h5).png,23404,Adamant platebody with a heraldic design.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,16640,6656,8,9984
Adamant platebody (t),https://oldschool.runescape.wiki/images/Adamant_platebody_(t).png,2599,Adamant platebody with trim.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,16640,6656,8,9984
Adamant platelegs,https://oldschool.runescape.wiki/images/Adamant_platelegs.png,1073,These look pretty heavy.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,6400,2560,125,3840
Adamant platelegs (g),https://oldschool.runescape.wiki/images/Adamant_platelegs_(g).png,2609,Adamant platelegs with gold trim.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,6400,2560,8,3840
Adamant platelegs (t),https://oldschool.runescape.wiki/images/Adamant_platelegs_(t).png,2601,Adamant platelegs with trim.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,6400,2560,8,3840
Adamant plateskirt,https://oldschool.runescape.wiki/images/Adamant_plateskirt.png,1091,Designer leg protection.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,6400,2560,125,3840
Adamant plateskirt (g),https://oldschool.runescape.wiki/images/Adamant_plateskirt_(g).png,3475,Adamant plateskirt with gold trim.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,6400,2560,8,3840
Adamant plateskirt (t),https://oldschool.runescape.wiki/images/Adamant_plateskirt_(t).png,3474,Adamant plateskirt with trim.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,6400,2560,8,3840
Adamant scimitar,https://oldschool.runescape.wiki/images/Adamant_scimitar.png,1331,"A vicious, curved sword.",https://oldschool.runescape.wiki/images/Free-to-play_icon.png,2560,1024,125,1536
Adamant set (lg),https://oldschool.runescape.wiki/images/Adamant_set_(lg).png,13012,"A set containing a full helm, platebody, legs and kiteshield.",https://oldschool.runescape.wiki/images/Free-to-play_icon.png,8000,3200,8,4800
Adamant set (sk),https://oldschool.runescape.wiki/images/Adamant_set_(sk).png,13014,"A set containing a full helm, platebody, skirt and kiteshield.",https://oldschool.runescape.wiki/images/Free-to-play_icon.png,8000,3200,8,4800
Adamant shield (h1),https://oldschool.runescape.wiki/images/Adamant_shield_(h1).png,7334,A shield with a heraldic design,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,5440,2176,70,3264
Adamant shield (h2),https://oldschool.runescape.wiki/images/Adamant_shield_(h2).png,7340,A shield with a heraldic design,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,5440,2176,70,3264
Adamant shield (h3),https://oldschool.runescape.wiki/images/Adamant_shield_(h3).png,7346,A shield with a heraldic design,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,5440,2176,70,3264
Adamant shield (h4),https://oldschool.runescape.wiki/images/Adamant_shield_(h4).png,7352,A shield with a heraldic design,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,5440,2176,70,3264
Adamant shield (h5),https://oldschool.runescape.wiki/images/Adamant_shield_(h5).png,7358,A shield with a heraldic design,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,5440,2176,70,3264
Adamant spear,https://oldschool.runescape.wiki/images/Adamant_spear.png,1245,An adamantite tipped spear.,https://oldschool.runescape.wiki/images/Member_icon.png,2080,832,125,1248
Adamant spear(p),https://oldschool.runescape.wiki/images/Adamant_spear(p).png,1259,A poisoned adamantite tipped spear.,https://oldschool.runescape.wiki/images/Member_icon.png,2080,832,125,1248
Adamant spear(p+),https://oldschool.runescape.wiki/images/Adamant_spear(p+).png,5712,A poisoned adamantite tipped spear.,https://oldschool.runescape.wiki/images/Member_icon.png,2080,832,125,1248
Adamant spear(p++),https://oldschool.runescape.wiki/images/Adamant_spear(p++).png,5726,A poisoned adamantite tipped spear.,https://oldschool.runescape.wiki/images/Member_icon.png,2080,832,125,1248
Adamant sq shield,https://oldschool.runescape.wiki/images/Adamant_sq_shield.png,1183,A medium square shield.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,3840,1536,125,2304
Adamant sword,https://oldschool.runescape.wiki/images/Adamant_sword.png,1287,A razor sharp sword.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,2080,832,125,1248
Adamant thrownaxe,https://oldschool.runescape.wiki/images/Adamant_thrownaxe.png,804,A finely balanced throwing axe.,https://oldschool.runescape.wiki/images/Member_icon.png,176,70,11000,105
Adamant trimmed set (lg),https://oldschool.runescape.wiki/images/Adamant_trimmed_set_(lg).png,13016,"A set containing a full helm, platebody, legs and kiteshield.",https://oldschool.runescape.wiki/images/Free-to-play_icon.png,8000,3200,8,4800
Adamant trimmed set (sk),https://oldschool.runescape.wiki/images/Adamant_trimmed_set_(sk).png,13018,"A set containing a full helm, platebody, skirt and kiteshield.",https://oldschool.runescape.wiki/images/Free-to-play_icon.png,8000,3200,8,4800
Adamant warhammer,https://oldschool.runescape.wiki/images/Adamant_warhammer.png,1345,I don't think it's intended for joinery.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,4120,1648,125,2472
Adamantite bar,https://oldschool.runescape.wiki/images/Adamantite_bar.png,2361,It's a bar of adamantite.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,640,256,10000,384
Adamantite limbs,https://oldschool.runescape.wiki/images/Adamantite_limbs.png,9429,A pair of adamantite crossbow limbs.,https://oldschool.runescape.wiki/images/Member_icon.png,1600,640,10000,960
Adamantite nails,https://oldschool.runescape.wiki/images/Adamantite_nails.png,4823,Keeps things in place fairly permanently.,https://oldschool.runescape.wiki/images/Member_icon.png,45,18,13000,27
Adamantite ore,https://oldschool.runescape.wiki/images/Adamantite_ore.png,449,This needs refining.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,400,160,4500,240
Admiral pie,https://oldschool.runescape.wiki/images/Admiral_pie.png,7198,Much tastier than a normal fish pie.,https://oldschool.runescape.wiki/images/Member_icon.png,310,124,10000,186
Afro,https://oldschool.runescape.wiki/images/Afro.png,12430,Wild!,https://oldschool.runescape.wiki/images/Member_icon.png,684,273,4,410
Agility mix(1),https://oldschool.runescape.wiki/images/Agility_mix(1).png,11463,One dose of fishy Agility potion.,https://oldschool.runescape.wiki/images/Member_icon.png,50,20,2000,30
Agility mix(2),https://oldschool.runescape.wiki/images/Agility_mix(2).png,11461,Two doses of fishy Agility potion.,https://oldschool.runescape.wiki/images/Member_icon.png,100,40,2000,60
Agility potion(1),https://oldschool.runescape.wiki/images/Agility_potion(1).png,3038,1 dose of Agility potion.,https://oldschool.runescape.wiki/images/Member_icon.png,50,20,2000,30
Agility potion(2),https://oldschool.runescape.wiki/images/Agility_potion(2).png,3036,2 doses of Agility potion.,https://oldschool.runescape.wiki/images/Member_icon.png,100,40,2000,60
Agility potion(3),https://oldschool.runescape.wiki/images/Agility_potion(3).png,3034,3 doses of Agility potion.,https://oldschool.runescape.wiki/images/Member_icon.png,150,60,2000,90
Agility potion(4),https://oldschool.runescape.wiki/images/Agility_potion(4).png,3032,4 doses of Agility potion.,https://oldschool.runescape.wiki/images/Member_icon.png,200,80,2000,120
Ahrim's armour set,https://oldschool.runescape.wiki/images/Ahrim's_armour_set.png,12881,"A set containing an Ahrim's hood, robetop, robeskirt and staff.",https://oldschool.runescape.wiki/images/Member_icon.png,200000,80000,8,120000
Ahrim's hood,https://oldschool.runescape.wiki/images/Ahrim's_hood.png,4708,Ahrim the Blighted's leather hood.,https://oldschool.runescape.wiki/images/Member_icon.png,13000,5200,15,7800
Ahrim's hood 0,https://oldschool.runescape.wiki/images/Ahrim's_hood_0.png,4860,Ahrim the Blighted's leather hood.,https://oldschool.runescape.wiki/images/Member_icon.png,13000,5200,15,7800
